track_name,artist_name,artist_pop,artist_genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre_score,track_pop
Kholo Kholo,Raman Mahadevan,40,['filmi'],0.539,0.313,-10.99,0.0337,0.0688,1.65e-05,0.0935,0.239,169.863,311986,4,3.0,53
There's Nothing Holdin' Me Back,Shawn Mendes,83,"['canadian pop', 'pop', 'viral pop']",0.866,0.813,-4.063,0.0554,0.38,0.0,0.0779,0.969,121.998,199440,4,24.0,86
Viva La Vida,Coldplay,86,"['permanent wave', 'pop']",0.486,0.617,-7.115,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373,4,22.0,82
All Of You,Stephanie Beatriz,71,[],0.515,0.467,-10.623,0.0494,0.633,0.0,0.107,0.346,114.532,278440,4,0.0,72
"Colombia, Mi Encanto",Carlos Vives,74,"['champeta', 'colombian pop', 'latin', 'latin pop', 'tropical', 'vallenato']",0.718,0.88,-7.567,0.11,0.0223,0.0,0.908,0.814,124.007,175280,4,22.0,73
24K Magic,Bruno Mars,86,"['dance pop', 'pop']",0.818,0.803,-4.282,0.0797,0.034,0.0,0.153,0.632,106.97,225983,4,32.0,79
What Else Can I Do?,Diane Guerrero,67,[],0.718,0.709,-5.568,0.039,0.258,0.0,0.101,0.54,119.974,179427,4,0.0,77
Waiting On A Miracle,Stephanie Beatriz,71,[],0.48,0.554,-8.145,0.069,0.171,0.0,0.131,0.267,190.066,161840,3,0.0,75
Surface Pressure,Jessica Darrow,61,[],0.65,0.584,-8.286,0.307,0.0174,1.54e-06,0.042,0.37,180.088,202227,4,0.0,80
Dos Oruguitas,Sebastian Yatra,80,"['colombian pop', 'latin', 'reggaeton colombiano']",0.423,0.355,-10.565,0.0454,0.761,0.0,0.0915,0.465,93.788,214613,4,14.0,75
Dil Dhadakne Do,Joi Barua,42,['northeast indian indie'],0.778,0.599,-4.758,0.032,0.0705,0.0,0.59,0.949,116.951,230319,4,2.0,60
