track_name,artist_name,artist_pop,artist_genres,album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_pop
bad guy,Billie Eilish,86,"['art pop', 'electropop', 'pop']","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,194088,4,84
2step (feat. Armaan Malik),Ed Sheeran,90,"['pop', 'uk pop']",2step (feat. Armaan Malik),0.747,0.667,-5.181,0.0566,0.18,0.0,0.146,0.508,95.0,153124,4,59
Uddne Do,Amit Mishra,53,"['desi pop', 'filmi', 'modern bollywood']","Uddne Do (From ""Velle"")",0.559,0.658,-5.971,0.03,0.239,0.0,0.112,0.381,95.12,175579,4,44
"Phisal Jaa Tu (From ""Haseen Dillruba"")",Abhijeet Srivastava,53,"['desi pop', 'modern bollywood']","Phisal Jaa Tu (From ""Haseen Dillruba"")",0.694,0.563,-10.421,0.0317,0.641,0.00105,0.16,0.203,132.118,241267,4,45
Zindagi Ko Hi5,Mpower,34,[],Zindagi Ko Hi5,0.582,0.554,-7.651,0.0338,0.443,0.0,0.113,0.377,127.919,341250,4,53
Roz Roz,The Yellow Diary,48,"['desi hip hop', 'indian indie', 'indian rock', 'mumbai indie', 'pakistani pop']",Roz Roz,0.653,0.446,-7.867,0.0351,0.546,4.52e-05,0.109,0.472,100.018,218550,4,62
Main Sherni (From Sherni),AKASA,53,"['desi pop', 'modern bollywood']",Main Sherni (From Sherni),0.629,0.802,-4.589,0.0491,0.258,0.0,0.128,0.43,139.95,207429,4,37
Mirchi,DIVINE,63,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",Mirchi,0.871,0.608,-5.486,0.4,0.142,0.0,0.0876,0.818,129.784,192923,4,55
Sakhiyan2.0,Maninder Buttar,61,"['desi hip hop', 'desi pop', 'punjabi pop']",Sakhiyan2.0 - BellBottom,0.817,0.715,-5.13,0.0484,0.183,0.0,0.214,0.398,100.002,177695,4,68
Zinda Dili,Salim–Sulaiman,59,"['desi pop', 'filmi', 'indian folk', 'modern bollywood']",Zinda Dili,0.488,0.889,-4.583,0.0669,0.38,0.0,0.13,0.118,124.925,239431,4,44
Musafir x Wanderer,Yugm,18,[],Musafir x Wanderer,0.299,0.288,-13.117,0.0322,0.855,0.00627,0.101,0.299,119.998,262000,4,36
Rihaa,Arijit Singh,83,"['desi pop', 'filmi', 'modern bollywood']",Rihaa,0.465,0.664,-7.909,0.0361,0.886,0.068,0.156,0.744,173.863,329655,4,47
