track_name,artist_name,artist_pop,artist_genres,album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_pop
Rise Again,Kevin Waters Group,36,[],Rise Again,0.45,0.105,-15.388,0.0355,0.977,0.38,0.106,0.184,114.51,299264,4,44
In The Wee Small Hours Of The Morning,Gerry Mulligan Sextet,39,"['bebop', 'cool jazz']",Night Lights (Expanded Edition),0.521,0.00894,-24.142,0.0414,0.974,0.371,0.108,0.171,115.007,339533,3,50
Lush Life,Tiril Brandt,24,[],Lush Life,0.496,0.134,-19.588,0.0385,0.958,0.946,0.107,0.0407,98.992,242399,4,43
A Hero Lives Another Day,Claudia Torrek,28,['background jazz'],A Hero Lives Another Day,0.424,0.138,-16.483,0.032,0.968,0.89,0.123,0.0626,81.347,186768,4,47
Rainbow Mountains,Chris Memento,37,[],Rainbow Mountains,0.409,0.166,-14.307,0.0339,0.919,0.753,0.315,0.164,108.547,290750,4,39
Seymour Reads the Constitution,Brad Mehldau Trio,40,"['contemporary jazz', 'jazz', 'jazz fusion', 'jazz trio', 'modern jazz trio']",Seymour Reads the Constitution!,0.586,0.284,-15.468,0.0363,0.76,0.783,0.102,0.391,93.365,483280,3,45
Closing Doors,Jazmina Tozer Three,21,[],Closing Doors,0.334,0.175,-17.782,0.0355,0.96,0.924,0.0977,0.0891,84.616,180548,3,39
I´m Getting Sentimental Over You,The Collective,39,['background jazz'],A Ghost Of A Chance,0.422,0.101,-17.722,0.0452,0.985,0.872,0.156,0.183,112.219,162573,4,52
Foggy Sunday,Bladverk Band,43,['background jazz'],Foggy Sunday,0.43,0.0934,-11.827,0.0311,0.956,0.774,0.14,0.166,49.928,227159,4,39
You're Good to Me,Three Four Trio,43,[],The End is the Beginning,0.387,0.0465,-20.573,0.0369,0.964,0.861,0.108,0.0554,83.73,194245,4,54
Nothing Lasts Forever,Danny Ryan Jazz Band,42,[],"Honey, You Are My Everything",0.454,0.167,-19.684,0.0299,0.958,0.777,0.0962,0.112,95.812,282640,4,51
Danny´s Dream,Eddie Harper,37,['background jazz'],If You Could See Me Now,0.283,0.086,-17.989,0.0461,0.972,0.443,0.19,0.26,203.925,214092,1,46
Autumn Serenade,Tim Franks Trio,39,[],Autumn Serenade,0.447,0.113,-20.352,0.0401,0.965,0.925,0.1,0.178,114.85,236327,4,55
Ballad Of The Sad Young Men - Live,Keith Jarrett Trio,41,"['contemporary jazz', 'ecm-style jazz', 'jazz', 'jazz fusion', 'jazz trio']",Tribute,0.333,0.115,-27.905,0.0473,0.838,0.382,0.673,0.124,139.496,422200,4,42
Sometimes,Maurice Font,43,['background jazz'],Sometimes,0.294,0.112,-22.33,0.0464,0.835,0.935,0.12,0.0721,179.82,183750,3,56
I Can't Get Started - Instrumental,Cannonball Adderley,55,"['bebop', 'big band', 'cool jazz', 'hard bop', 'jazz', 'jazz blues', 'vocal jazz']",Nancy Wilson/Cannonball Adderley,0.393,0.147,-13.093,0.0418,0.869,0.0411,0.0938,0.205,175.541,297533,3,44
Compassion,Jenny Jones,39,[],Compassion,0.472,0.0993,-17.907,0.0432,0.982,0.62,0.143,0.165,112.93,251443,4,51
In This Wonderful World,Rainy Days Trio,41,[],In This Wonderful World,0.264,0.169,-18.472,0.038,0.952,0.53,0.165,0.0799,180.973,244402,3,40
Eternity,Greydon Park Band,39,['background jazz'],Eternity,0.521,0.0568,-18.52,0.0313,0.952,0.229,0.104,0.0685,80.391,218141,4,52
the point above,Brandon's Three,44,['background jazz'],the point above,0.45,0.0767,-22.482,0.0378,0.869,0.747,0.0853,0.167,100.427,168616,4,54
Blueberry Street,Danny Ryan Jazz Band,42,[],Blueberry Street,0.311,0.129,-19.6,0.0317,0.964,0.371,0.126,0.0523,92.552,255734,4,37
Lost in Orbit,Dan Evans-Parker,36,[],Lost in Orbit,0.28,0.0656,-21.513,0.0325,0.552,0.54,0.115,0.148,88.03,153785,4,54
Lover For The Day,Mr. Right Time,38,[],Lover For The Day,0.323,0.135,-17.884,0.0359,0.96,0.895,0.244,0.0748,82.465,211786,4,40
You Don't Know What Love Is,The Sweetgreens,45,['background jazz'],You Don't Know What Love Is,0.581,0.0509,-25.046,0.0377,0.854,0.892,0.124,0.269,118.494,150123,4,51
Abisko,Norberg,32,['background jazz'],Abisko,0.547,0.0608,-19.962,0.0317,0.883,0.552,0.0952,0.132,105.068,168190,4,47
I Remember Clifford,Benny Golson,42,"['bebop', 'contemporary post-bop', 'hard bop', 'jazz', 'jazz saxophone', 'stride', 'vocal jazz']",Benny Golson And The Philadelphians,0.304,0.124,-18.748,0.0438,0.351,0.0,0.157,0.124,181.665,182427,3,51
Älvan,Robert Elovsson,41,['background jazz'],Älvan,0.326,0.0882,-25.202,0.058,0.991,0.922,0.107,0.229,205.083,202375,3,45
Monk's Mood,The Holly Molly Trio,26,[],Monk's Mood,0.451,0.138,-16.646,0.0338,0.94,0.933,0.1,0.0558,99.127,240449,4,43
Blue in Green,Hudson Harris & Haim,42,['background jazz'],Blue in Green,0.557,0.0593,-23.714,0.0383,0.827,0.772,0.108,0.15,117.939,229885,4,53
Moment To Moment,Theo Rollins,37,[],Moment To Moment,0.479,0.12,-20.076,0.0437,0.965,0.913,0.11,0.142,103.572,177147,4,52
Alone at Night,Danny Walgreen,39,[],Alone at Night,0.531,0.148,-21.015,0.0327,0.752,0.747,0.125,0.0589,95.778,179768,3,44
Yesterday,Tommies Trio,16,[],Yesterday,0.472,0.133,-20.789,0.0376,0.889,0.931,0.108,0.135,107.868,227279,4,35
desire strongly,Brandon's Three,44,['background jazz'],desire strongly,0.465,0.0485,-23.546,0.0401,0.962,0.942,0.103,0.154,97.369,179800,4,52
Comme Il Faut,Lia Riggs Trio,41,['background jazz'],Comme il faut,0.41,0.275,-16.246,0.0351,0.888,0.515,0.113,0.153,107.619,222509,3,44
When All Was Said and Done,Sally's Trio,36,[],When All Was Said and Done,0.267,0.113,-21.599,0.0331,0.959,0.197,0.126,0.074,84.64,275719,4,52
Let's Not,Danny Ryan Jazz Band,42,[],Blueberry Street,0.392,0.0946,-18.784,0.0285,0.953,0.702,0.107,0.087,92.183,265317,4,39
Sleep Paralysis,The City of Birches,39,['background jazz'],Sleep Paralysis,0.483,0.106,-14.615,0.0425,0.978,0.296,0.209,0.252,112.145,262977,4,51
Close Your Eyes,Saginaw Society,36,[],Close Your Eyes,0.538,0.166,-17.592,0.0402,0.978,0.852,0.127,0.201,105.436,226886,4,54
Counting Stars,Rainy Days Trio,41,[],Lonesome Road,0.497,0.118,-16.891,0.0309,0.927,0.0547,0.114,0.148,94.476,254676,4,55
Change of Heart,Turtleneck Trio,34,['background jazz'],Change of Heart,0.3,0.125,-20.38,0.03,0.97,0.439,0.146,0.0894,84.856,291840,4,53
Searching,Geeder,39,['background jazz'],Searching,0.436,0.174,-13.01,0.0411,0.959,0.475,0.222,0.171,86.676,208607,3,36
Don't Love Me,Coleman Hawkins Quartet,36,['jazz quartet'],Today And Now,0.42,0.116,-18.078,0.0419,0.943,0.0801,0.124,0.142,120.071,279013,4,49
I Thought About You,Gaige Myers,34,[],I Thought About You,0.459,0.175,-16.85,0.0381,0.94,0.935,0.117,0.0731,114.052,278529,4,53
Lake Natron,Andy Miller Group,38,['background jazz'],Lake Natron,0.441,0.135,-17.223,0.0363,0.895,0.937,0.105,0.223,111.704,224525,4,43
Someone to Watch Over Me,Ben Webster,50,"['adult standards', 'bebop', 'jazz', 'jazz saxophone', 'stride', 'swing', 'vocal jazz']",See You At The Fair,0.555,0.0456,-21.914,0.05,0.983,0.362,0.086,0.357,93.526,270267,3,41
Monkish,Joseph Drilbit,6,[],Monkish,0.528,0.191,-16.349,0.0363,0.965,0.953,0.103,0.0888,102.711,227890,4,22
Nightfall,Charlie Haden,46,"['avant-garde jazz', 'contemporary jazz', 'contemporary post-bop', 'ecm-style jazz', 'jazz', 'jazz double bass', 'jazz fusion']",Nocturne,0.431,0.146,-21.72,0.0389,0.94,0.865,0.113,0.0699,108.229,396120,4,41
I Should Care,Hank Mobley,46,"['bebop', 'big band', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz']",Music For Lovers,0.615,0.141,-12.893,0.0402,0.967,0.0719,0.179,0.256,105.628,462773,4,43
Under the same roof,Krista Lake Band,35,[],Old Habits,0.399,0.0648,-22.132,0.0362,0.972,0.757,0.11,0.0392,91.306,238426,4,54
Misty November,Kevin Waters Group,36,[],Misty November,0.444,0.108,-16.79,0.0339,0.981,0.92,0.105,0.237,47.453,192519,4,38
Minor Steps,Lee Davis,31,[],Minor Steps,0.361,0.0892,-19.531,0.0326,0.966,0.967,0.147,0.113,107.333,241750,4,37
Black Monday,Hamilton Jones Trio,29,[],Black Monday,0.448,0.17,-17.722,0.043,0.962,0.899,0.11,0.161,117.394,205543,4,48
Alone And I - Remastered 2007,Herbie Hancock,54,"['contemporary post-bop', 'instrumental funk', 'jazz', 'jazz funk', 'jazz fusion', 'jazz piano', 'uk contemporary jazz']",Takin' Off (Expanded Edition),0.409,0.0681,-17.935,0.0334,0.98,0.948,0.0971,0.0577,101.784,389773,4,45
Whatever Possessed Me,More than Jazz,33,[],Whatever Possessed Me,0.369,0.143,-14.486,0.0392,0.967,0.00897,0.101,0.229,176.892,229676,3,51
Say It (Over And Over Again),John Coltrane Quartet,46,"['bebop', 'jazz', 'jazz quartet', 'jazz saxophone']",Ballads (Deluxe Edition - Rudy Van Gelder Remaster),0.488,0.124,-13.038,0.0404,0.963,0.333,0.246,0.205,66.105,255960,4,55
A Time for Love,Peter Rostov Trio,24,['background jazz'],A Portrait of Jennie,0.366,0.0819,-18.675,0.0437,0.955,0.888,0.0816,0.121,49.112,228473,4,42
Silhouette,Carlton Maison Quartet,42,['background jazz'],I´m Glad There Is You,0.516,0.144,-14.12,0.042,0.983,0.32,0.149,0.336,109.544,231774,4,42
Somewhat Melancholy,The Greenview,19,[],One Day I Wrote Her Name,0.549,0.12,-20.021,0.0333,0.991,0.877,0.11,0.126,99.581,197776,4,38
Where Or When,Nelly Vernon,37,[],Where Or When,0.347,0.0822,-19.329,0.0334,0.982,0.962,0.11,0.251,98.0,203483,4,50
Farewell,Mandevilla,43,['background jazz'],Farewell,0.488,0.197,-17.524,0.0434,0.955,0.939,0.105,0.113,112.819,239687,5,46
Longing,Basinettes,23,[],Longing,0.535,0.0689,-21.391,0.038,0.869,0.0292,0.0766,0.211,123.288,196784,4,38
You Confuse Me,Jeff Laine & Co,26,[],You Confuse Me,0.352,0.0754,-15.685,0.0345,0.932,0.0288,0.11,0.0789,103.117,191527,4,43
All To Soon,Long Island Quartet,40,['background jazz'],All To Soon,0.422,0.188,-13.013,0.0553,0.966,0.000424,0.187,0.329,182.092,253641,3,49
"Ruby, My Dear",The Sweetgreens,45,['background jazz'],"Ruby, My Dear",0.371,0.165,-19.273,0.0363,0.916,0.937,0.22,0.0816,95.691,168880,4,51
Misty,Bob Brookmeyer,42,"['bebop', 'cool jazz', 'jazz trombone']",Bob Brookmeyer & Friends,0.377,0.0839,-17.9,0.0356,0.985,0.21,0.104,0.15,54.348,317933,4,42
Turn Out the Stars,Tyrone Coates & Friends,32,[],Turn Out the Stars,0.48,0.0663,-19.529,0.045,0.945,0.92,0.124,0.0772,96.096,203671,4,48
Moonbow,Willowdale,32,[],Moonbow,0.273,0.124,-19.123,0.0365,0.914,0.723,0.105,0.116,73.391,232500,3,42
Ascent,Art Hirahara,45,[],Balance Point,0.465,0.0604,-23.367,0.042,0.945,0.893,0.108,0.0394,101.23,250869,4,57
Årstaviken,Bergsundet,33,[],Årstaviken,0.423,0.071,-20.012,0.0397,0.947,0.672,0.102,0.1,94.975,219776,3,52
Landing,Red Brick Lane,32,[],Landing,0.292,0.0382,-17.212,0.0378,0.927,0.915,0.101,0.167,53.081,181390,4,50
Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition,Stanley Turrentine,42,"['bebop', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz']",Look Out! (Remastered),0.505,0.159,-11.235,0.0336,0.946,0.0127,0.212,0.196,59.385,295200,4,50
Midnight midtown,Nordic Swing,31,['background jazz'],Midnight midtown,0.484,0.217,-12.61,0.0345,0.944,0.304,0.104,0.161,92.299,273616,4,50
Spring Is Here,Eddie Harper,37,['background jazz'],Spring Is Here,0.494,0.153,-11.957,0.0383,0.984,0.00427,0.11,0.321,145.644,195582,3,47
Never Let Me Go,Alexander Martin Jazz Trio,24,[],Lil' Darlin',0.436,0.157,-17.516,0.0346,0.924,0.753,0.381,0.185,84.389,258920,4,43
Yet another dream,Tom Bates,29,[],Just a fool,0.444,0.0677,-18.834,0.0336,0.947,0.765,0.134,0.127,109.982,286250,4,47
Alone Together - Rudy Van Gelder Remaster 2006,Kenny Dorham,42,"['bebop', 'free jazz', 'hard bop', 'jazz', 'jazz trumpet', 'stride']",Quiet Kenny,0.336,0.0619,-20.494,0.0363,0.985,0.891,0.11,0.197,60.705,190400,4,52
I'm Through With Love,George Kuntz Four,19,[],I'm Through With Love,0.313,0.0918,-17.976,0.0385,0.988,0.825,0.116,0.269,77.092,356033,3,37
I'm A Fool To Want,Art Farmer,40,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz trumpet', 'stride']",Art,0.411,0.0235,-21.177,0.0467,0.993,0.905,0.208,0.455,61.7,333493,4,41
You Keep Coming Back Like A Song,Red Garland,50,"['adult standards', 'bebop', 'hard bop', 'jazz', 'jazz piano', 'stride']",Red Garland Revisited!,0.621,0.0464,-21.093,0.0452,0.936,0.892,0.0885,0.105,62.767,335533,4,41
Cry Me a River,Dexter Gordon All Stars,15,[],Dexter Blows Hot & Cool,0.451,0.2,-11.563,0.0383,0.825,0.298,0.105,0.331,59.405,222763,4,32
Late Lament,Tim Franks Trio,39,[],Late Lament,0.348,0.168,-19.254,0.0353,0.985,0.917,0.0854,0.149,82.508,320859,3,51
Désespérés,Vernon Sanders,34,['background jazz'],Désespérés,0.344,0.0562,-20.749,0.0323,0.987,0.838,0.135,0.172,88.171,221625,4,43
Neighbours,Yorkville,39,[],In The Days Of Our Love,0.492,0.178,-13.928,0.0463,0.98,0.532,0.106,0.295,100.055,186436,4,49
Reaching,The Midnight Quartet,28,['background jazz'],Reaching,0.519,0.134,-16.085,0.0356,0.955,0.887,0.126,0.154,78.515,202552,4,47
Blue Romance,Chris Memento,37,[],Blue Romance,0.278,0.0589,-20.456,0.033,0.909,0.00899,0.348,0.189,78.101,242000,3,41
Gone With The Wind,Johnny Hodges & His Orchestra,35,"['big band', ""man's orchestra"", 'stride', 'swing']",Blues-A-Plenty,0.357,0.0755,-18.022,0.0404,0.966,0.0333,0.22,0.269,183.121,198680,3,37
October 22nd,Vendla,45,['background jazz'],Autumn Diaries,0.46,0.235,-12.202,0.032,0.941,0.602,0.128,0.201,109.048,226438,4,49
For Heavens Sake,Kevin Waters Group,36,[],For Heavens Sake,0.492,0.179,-15.751,0.0387,0.948,0.89,0.109,0.135,111.479,291271,4,37
Time Remembered,Sarah Troedsson,34,[],Time Remembered,0.394,0.181,-20.645,0.0322,0.963,0.921,0.11,0.0536,107.234,184878,4,53
When I Fall In Love,Bill Evans,59,"['bebop', 'cool jazz', 'jazz', 'jazz piano']",Portrait In Jazz [Keepnews Collection],0.412,0.0163,-22.851,0.0461,0.977,0.73,0.0793,0.149,161.772,297387,3,44
Beautiful Love,Lenox Livingroom Sessions,26,['background jazz'],VOL.1,0.536,0.0408,-16.92,0.0494,0.985,0.0388,0.0908,0.198,107.782,156500,4,44
Lady Sings the Blues,The Capital Club Trio,26,['background jazz'],Beyond the Sea,0.417,0.191,-18.255,0.0333,0.885,0.556,0.121,0.0393,118.372,270377,4,40
Lament,Andreas Gidlund,42,['swedish jazz'],Imagination,0.454,0.192,-13.349,0.0421,0.964,0.845,0.106,0.278,77.195,170068,4,36
In the Days of our Love,Newington Green,38,['background jazz'],In the Days of our Love,0.522,0.0696,-20.816,0.0419,0.974,0.907,0.111,0.132,106.006,220019,4,52
Riverside,Charlie James-Walker,35,['background jazz'],Riverside,0.426,0.166,-12.995,0.0275,0.956,0.0568,0.265,0.0988,92.342,238416,4,50
Heyoke,Carlton Maison Quartet,42,['background jazz'],Heyoke,0.466,0.157,-14.009,0.0387,0.973,0.015,0.111,0.124,80.08,249368,4,49
Still Life,Wildflower Trio,43,[],Still Life,0.547,0.091,-19.388,0.0452,0.92,0.179,0.0927,0.0981,63.807,186000,4,50
Soul Eyes,Juraj Stanik Trio,35,[],Inside Out,0.465,0.117,-24.974,0.0351,0.959,0.914,0.0819,0.115,111.292,283693,4,50
Next Door Dreaming,Rob Kasaki,26,['background jazz'],Next Door Dreaming,0.478,0.0881,-18.818,0.0399,0.952,0.797,0.12,0.439,180.401,138583,3,45
After Rain,Morgan Coleman Quintet,20,['background jazz'],After Rain,0.182,0.0918,-17.58,0.0317,0.961,0.0985,0.108,0.0815,88.169,220597,4,38
Levels,Sidhu Moose Wala,79,"['desi hip hop', 'desi pop', 'pakistani hip hop', 'punjabi hip hop']",Levels,0.592,0.728,-6.098,0.311,0.00148,0.0,0.379,0.577,113.17,228706,5,77
Ain't Died In Vain,Prem Dhillon,61,"['desi hip hop', 'desi pop', 'punjabi pop']",Ain't Died In Vain,0.671,0.735,-4.171,0.281,0.0848,0.0,0.0842,0.831,165.917,170602,4,52
Canada Gedi,Kaka,55,['desi pop'],Canada Gedi,0.764,0.655,-7.6,0.131,0.14,0.0,0.0935,0.504,170.002,239593,4,46
Meri Maa - A Tribute To Legend Sidhu Moosewala,R Nait,54,"['desi pop', 'haryanvi pop', 'punjabi pop']",Meri Maa - A Tribute To Legend Sidhu Moosewala,0.671,0.71,-8.104,0.155,0.795,0.0,0.0971,0.677,155.66,182174,4,52
Rab (from the Movie 'Sher Bagga'),Oye Kunaal,12,[],Rab (from the Movie 'Sher Bagga'),0.669,0.608,-5.23,0.0344,0.479,0.0,0.0694,0.676,158.952,196786,3,28
"Nain Ta Heere (From ""Jugjugg Jeeyo"")",Guru Randhawa,66,"['desi hip hop', 'desi pop', 'modern bollywood']","Nain Ta Heere (From ""Jugjugg Jeeyo"")",0.69,0.575,-5.763,0.124,0.345,0.0,0.309,0.509,87.967,216328,4,36
Main Punjab Haan,Ammy Gill,25,[],Main Punjab Haan,0.658,0.751,-5.518,0.236,0.59,0.0,0.282,0.533,89.932,301333,4,28
"Pata Ni Haan Diye (From ""Television"")",Kulwinder Billa,49,"['desi hip hop', 'desi pop', 'punjabi pop']","Pata Ni Haan Diye (From ""Television"")",0.553,0.697,-5.243,0.182,0.438,0.0,0.17,0.462,84.326,188571,4,25
Roll Deep,Tegi Pannu,60,"['desi pop', 'punjabi pop']",Roll Deep,0.753,0.687,-6.375,0.149,0.52,2.32e-06,0.0663,0.754,90.621,182379,4,66
Battiyan,Arjun,19,[],Battiyan,0.607,0.511,-8.288,0.0496,0.17,0.0,0.0917,0.359,141.688,192687,4,29
Kamm Koi Na,The Landers,56,"['desi hip hop', 'desi pop', 'punjabi pop']",Kamm Koi Na,0.688,0.841,-3.885,0.277,0.242,1.02e-06,0.134,0.748,183.539,177391,4,61
Pehli Mulaqat,Gurnam Bhullar,60,"['desi pop', 'punjabi pop']",Pehli Mulaqat,0.687,0.639,-6.962,0.112,0.359,0.0,0.123,0.446,75.008,181600,4,56
Thabba Ku Zulfan,Arjan Dhillon,64,['punjabi pop'],Thabba Ku Zulfan,0.713,0.45,-8.245,0.14,0.089,0.0,0.101,0.676,91.864,144130,4,66
Pain,Jaggi Jagowal,26,[],Pain,0.594,0.609,-7.467,0.132,0.00805,0.0,0.113,0.416,78.166,246154,4,44
The Last Ride,Sidhu Moose Wala,79,"['desi hip hop', 'desi pop', 'pakistani hip hop', 'punjabi hip hop']",The Last Ride,0.792,0.647,-5.447,0.334,0.0299,0.0,0.119,0.638,89.029,262247,4,81
"Pyar Karda - From ""Lover""",Jass Manak,61,"['desi hip hop', 'desi pop', 'punjabi pop']","Pyar Karda (From ""Lover"")",0.579,0.421,-5.943,0.0271,0.542,0.0,0.105,0.506,98.046,211224,4,54
Positivity,Jordan Sandhu,59,"['desi pop', 'punjabi pop']",Positivity,0.68,0.698,-5.93,0.26,0.172,0.0,0.15,0.501,167.831,170714,4,64
Gangsta,Karan Aujla,69,"['desi hip hop', 'desi pop', 'punjabi pop']",Way Ahead,0.791,0.687,-6.279,0.104,0.00665,2.12e-06,0.0986,0.513,130.154,190154,4,75
Sidhu Forever,Roban Dhillon,23,[],Sidhu Forever,0.696,0.926,-2.595,0.24,0.326,0.0,0.0612,0.724,88.29,109091,4,42
Stay Away,Baaz Dhaliwal,12,[],Stay Away,0.71,0.583,-8.129,0.0478,0.282,1.16e-05,0.642,0.607,111.05,175135,4,21
No Count,Tarsem Jassar,58,"['desi pop', 'punjabi pop']",No Count,0.56,0.769,-5.245,0.32,0.133,0.0,0.0589,0.436,84.033,201379,4,60
Tere Piche Piche,Baani Sandhu,52,"['desi pop', 'punjabi pop']",Tere Piche Piche,0.758,0.629,-5.3,0.055,0.668,1.64e-06,0.0857,0.725,74.927,172758,4,55
DARDA DI DOSE,Sharry Mann,54,"['desi pop', 'punjabi pop']",DARDA DI DOSE,0.501,0.798,-6.348,0.284,0.115,0.0,0.0826,0.665,188.153,155553,4,52
Chaal,Deep Chahal,43,['punjabi pop'],Chaal,0.729,0.782,-6.683,0.293,0.00262,1.39e-06,0.158,0.611,171.895,156279,4,50
Ishq Paudiyan,Mohammed Irfan,57,"['desi pop', 'filmi', 'modern bollywood']",Ishq Paudiyan,0.337,0.533,-9.79,0.0421,0.322,0.0,0.0991,0.707,79.763,171220,4,45
"Most Wanted (“Dakuaan Da Munda 2"")",Himmat Sandhu,51,"['desi pop', 'punjabi pop']","Most Wanted (“Dakuaan Da Munda 2"")",0.638,0.639,-3.733,0.246,0.0785,0.0,0.106,0.236,91.164,190435,4,51
"Darling - From ""Kokka""",The Landers,56,"['desi hip hop', 'desi pop', 'punjabi pop']","Darling (From ""Kokka"")",0.741,0.663,-5.652,0.138,0.548,0.0,0.0902,0.895,81.877,216768,4,58
Khai,Agsy,25,['indian underground rap'],Khai,0.786,0.423,-9.173,0.0441,0.469,0.0,0.0734,0.641,120.972,166983,4,39
Big Men (Chapter 2),R Nait,54,"['desi pop', 'haryanvi pop', 'punjabi pop']",Big Men (Chapter 2),0.441,0.653,-6.254,0.212,0.433,0.0,0.126,0.242,83.1,224966,4,59
Oouuu,Karan Aujla,69,"['desi hip hop', 'desi pop', 'punjabi pop']",Way Ahead,0.779,0.693,-6.033,0.0885,0.0832,0.0,0.0874,0.469,150.019,147200,4,70
Never Fold (feat. Sunny Malton),Sidhu Moose Wala,79,"['desi hip hop', 'desi pop', 'pakistani hip hop', 'punjabi hip hop']",No Name,0.814,0.786,-5.178,0.232,0.069,0.0,0.0976,0.797,93.025,183226,4,78
Chauffeur,Diljit Dosanjh,68,"['desi pop', 'filmi', 'modern bollywood', 'punjabi pop']",Chauffeur,0.639,0.767,-4.997,0.0928,0.13,0.0,0.205,0.54,154.032,205040,4,74
In Flow,Prabh Rai,20,[],In Flow,0.764,0.703,-4.744,0.132,0.286,0.0,0.12,0.409,83.975,184529,4,38
Trippin,JERRY,53,"['desi pop', 'punjabi pop']",Trippin,0.818,0.553,-6.998,0.171,0.0582,0.0,0.125,0.65,82.0,164634,4,58
Unreachable,Karan Aujla,69,"['desi hip hop', 'desi pop', 'punjabi pop']",Way Ahead,0.697,0.52,-8.545,0.265,0.0199,0.0,0.147,0.44,155.917,237692,4,64
Setting,Arjan Dhillon,64,['punjabi pop'],Setting,0.697,0.753,-3.416,0.216,0.0643,0.0,0.0344,0.837,90.367,160000,4,66
Heart Attack,Ammy Virk,60,"['desi pop', 'punjabi pop']",Heart Attack,0.846,0.662,-5.607,0.137,0.0768,7.5e-06,0.06,0.545,102.994,162524,4,62
London Da Lakk,The Landers,56,"['desi hip hop', 'desi pop', 'punjabi pop']",London Da Lakk,0.718,0.742,-3.56,0.192,0.32,0.0,0.415,0.801,179.82,173128,4,52
Game Over,Karan Aujla,69,"['desi hip hop', 'desi pop', 'punjabi pop']",Way Ahead,0.846,0.573,-6.005,0.0633,0.0437,0.0,0.0856,0.553,134.144,154925,4,67
"Gundagardi (“Dakuaan Da Munda 2"")",Himmat Sandhu,51,"['desi pop', 'punjabi pop']","Gundagardi (“Dakuaan Da Munda 2"")",0.695,0.891,-3.619,0.18,0.13,0.0,0.0638,0.912,188.084,202340,4,56
Kuwait Wala Koka,Gurman Sandhu,38,['punjabi pop'],Kuwait Wala Koka,0.703,0.57,-4.228,0.255,0.045,0.0,0.114,0.871,92.829,169032,4,54
Everybody Hurts,Sidhu Moose Wala,79,"['desi hip hop', 'desi pop', 'pakistani hip hop', 'punjabi hip hop']",No Name,0.738,0.599,-7.102,0.0393,0.434,0.0,0.13,0.575,120.052,173333,5,76
Blame,Prem Dhillon,61,"['desi hip hop', 'desi pop', 'punjabi pop']",Blame,0.672,0.51,-10.164,0.278,0.0216,0.0,0.383,0.624,90.142,230057,4,63
Wahzirinthehood,Wazir Patar,51,"['desi hip hop', 'desi pop', 'punjabi hip hop', 'punjabi pop']",Wahzirinthehood,0.771,0.731,-6.529,0.394,0.018,1.11e-05,0.357,0.453,175.903,198409,4,59
End,Amrit Maan,58,"['desi hip hop', 'desi pop', 'punjabi pop']",End,0.881,0.588,-5.148,0.215,0.058,0.0,0.249,0.756,104.848,180890,4,58
Bamb Agya,Gur Sidhu,63,"['desi pop', 'punjabi pop']",Bamb Agya,0.823,0.709,-3.937,0.0408,0.0235,0.0,0.0834,0.499,93.012,200000,4,67
0 to 100,Sidhu Moose Wala,79,"['desi hip hop', 'desi pop', 'pakistani hip hop', 'punjabi hip hop']",No Name,0.742,0.675,-6.551,0.0907,0.139,0.0,0.167,0.679,145.989,108493,4,73
Mob N Love,Prem Dhillon,61,"['desi hip hop', 'desi pop', 'punjabi pop']",Mob N Love,0.725,0.726,-9.364,0.134,0.337,0.0,0.13,0.331,88.912,202423,4,58
Jawani,Arjan Dhillon,64,['punjabi pop'],Jawani,0.782,0.69,-7.811,0.0708,0.00909,0.000661,0.359,0.429,99.944,151219,4,70
Scapegoat,Sidhu Moose Wala,79,"['desi hip hop', 'desi pop', 'pakistani hip hop', 'punjabi hip hop']",Scapegoat,0.752,0.518,-8.798,0.207,0.0422,0.0,0.196,0.548,85.058,237176,4,64
Taur Jattan Di,Dilpreet Dhillon,56,"['desi pop', 'punjabi pop']",Taur Jattan Di,0.682,0.692,-5.244,0.269,0.0145,2.91e-05,0.205,0.547,176.143,172841,4,58
Haye Jatta,Zehr Vibe,53,['punjabi pop'],Haye Jatta,0.807,0.376,-14.784,0.268,0.105,0.0,0.207,0.358,92.965,179355,4,53
LA,Nirvair Pannu,53,"['desi pop', 'punjabi pop']",LA,0.433,0.582,-8.205,0.0687,0.00441,0.0,0.0962,0.393,104.524,179440,4,55
Rule Over (Putt Jattan Dey),The Landers,56,"['desi hip hop', 'desi pop', 'punjabi pop']",Rule Over (Putt Jattan Dey),0.681,0.549,-10.269,0.399,0.66,0.0,0.0936,0.549,106.652,140800,5,61
Time Keeps Tickin',Deep Jandu,53,"['desi hip hop', 'desi pop', 'punjabi hip hop', 'punjabi pop']",Time Keeps Tickin',0.78,0.722,-4.816,0.297,0.0136,0.0,0.579,0.833,88.097,188182,4,49
Shadow,Jassa Dhillon,58,"['desi pop', 'punjabi pop']",Love War,0.779,0.681,-5.117,0.0552,0.114,0.0,0.1,0.588,147.895,165083,4,63
Nain,Dilpreet Dhillon,56,"['desi pop', 'punjabi pop']",Nain,0.867,0.803,-3.397,0.0447,0.131,0.0,0.123,0.605,100.009,218400,4,54
